Date,Tournament,Surface,Rd,Rk,vRk,Result,Score,DR,A%,DF%,1stIn,1st%,2nd%,BPSvd,Time
16-Feb-09,Marseille,Hard,QF,3,76,(1)Djokovic d. Mischa Zverev [GER],6-3 6-3,1.67,11.50%,1.90%,61.50%,75.00%,70.00%,0/0,01:09
16-Feb-09,Marseille,Hard,R16,3,68,(1)Djokovic d. Jan Hernych [CZE],7-5 6-4,1.2,7.10%,1.40%,67.10%,66.00%,56.50%,5/7,01:33
16-Feb-09,Marseille,Hard,R32,3,55,(1)Djokovic d. Jeremy Chardy [FRA],7-6(4) 6-4,1.13,16.20%,4.40%,69.10%,89.40%,42.90%,1/1,01:27
19-Jan-09,Australian Open,Hard,QF,3,9,(7)Andy Roddick [USA] d. (3)Djokovic,6-7(3) 6-4 6-2 2-1 RET,0.59,7.00%,4.30%,62.60%,63.90%,46.50%,7/12,02:30
19-Jan-09,Australian Open,Hard,R16,3,97,(3)Djokovic d. Marcos Baghdatis [CYP],6-1 7-6(1) 6-7(5) 6-2,1.36,2.30%,2.30%,62.80%,74.10%,56.30%,4/5,03:13
19-Jan-09,Australian Open,Hard,R32,3,127,(3)Djokovic d. (LL)Amer Delic [BIH],6-2 4-6 6-3 7-6(4),1.2,8.40%,3.10%,64.10%,79.80%,51.10%,8/9,03:03
19-Jan-09,Australian Open,Hard,R64,3,68,(3)Djokovic d. Jeremy Chardy [FRA],7-5 6-1 6-3,1.7,9.30%,1.30%,72.00%,75.90%,66.70%,1/2,01:42
19-Jan-09,Australian Open,Hard,R128,3,220,(3)Djokovic d. (Q)Andrea Stoppini [ITA],6-2 6-3 7-5,1.45,10.80%,1.40%,68.90%,66.70%,60.90%,3/6,01:55
12-Jan-09,Sydney,Hard,SF,3,40,Jarkko Nieminen [FIN] d. (1)Djokovic,6-4 7-6(3),0.87,2.90%,1.40%,77.10%,72.20%,43.80%,4/5,01:40
12-Jan-09,Sydney,Hard,QF,3,35,(1)Djokovic d. Mario Ancic [CRO],6-3 6-4,0.88,2.40%,3.70%,59.80%,71.40%,48.50%,14/15,01:20
12-Jan-09,Sydney,Hard,R16,3,29,(1)Djokovic d. Paul Henri Mathieu [FRA],6-1 6-2,2.83,9.50%,2.40%,73.80%,77.40%,90.90%,1/1,00:55
04-Jan-09,Brisbane,Hard,R32,3,53,Ernests Gulbis [LAT] d. (1)Djokovic,6-4 6-4,0.78,4.60%,6.20%,47.70%,67.70%,41.20%,1/9,01:30
09-Nov-08,Masters Cup,Hard,F,3,5,Djokovic d. Nikolay Davydenko [RUS],6-1 7-5,1.72,7.30%,5.50%,61.80%,73.50%,66.70%,3/4,01:43
09-Nov-08,Masters Cup,Hard,SF,3,9,Djokovic d. Gilles Simon [FRA],4-6 6-3 7-5,1.16,7.50%,0.90%,63.20%,71.60%,56.40%,6/8,02:52
09-Nov-08,Masters Cup,Hard,RR,3,8,Djokovic d. Juan Martin Del Potro [ARG],7-5 6-3,1.22,11.10%,5.60%,54.20%,74.40%,51.50%,3/5,01:57
