Date,Tournament,Surface,Rd,Rk,vRk,,Score,More,DR,A%,DF%,1stIn,1st%,2nd%,BPSvd,Time
26_Aug_2024,US Open,Hard,R16,1,14,(1)Sinner d. (14)Tommy Paul [USA],7-6(3) 7-6(5) 6-1, (ch),1.4,10.20%,1.00%,49.00%,81.30%,56.00%,4-Feb,2:42
26_Aug_2024,US Open,Hard,R32,1,87,(1)Sinner d. Christopher Oconnell [AUS],6-1 6-4 6-2, (ch),2.1,21.70%,2.90%,65.20%,82.20%,66.70%,0/0,1:53
26_Aug_2024,US Open,Hard,R64,1,49,(1)Sinner d. Alex Michelsen [USA],6-4 6-0 6-2, (ch),1.78,4.60%,3.10%,56.90%,81.10%,53.60%,5-Mar,1:39
26_Aug_2024,US Open,Hard,R128,1,140,(1)Sinner d. Mackenzie Mcdonald [USA],2-6 6-2 6-1 6-2, (ch),1.38,11.70%,5.30%,55.30%,75.00%,50.00%,11-Jul,2:24
12_Aug_2024,Cincinnati Masters,Hard,F,1,26,(1)Sinner d. Frances Tiafoe [USA],7-6(4) 6-2, (ch),2.13,22.40%,3.40%,56.90%,84.80%,76.00%,3-Mar,1:36
12_Aug_2024,Cincinnati Masters,Hard,SF,1,4,(1)Sinner d. (3)Alexander Zverev [GER],7-6(9) 5-7 7-6(4), (ch),1.08,10.20%,0.80%,61.90%,69.90%,64.40%,5-Feb,3:07
12_Aug_2024,Cincinnati Masters,Hard,QF,1,6,(1)Sinner d. (6)Andrey Rublev [RUS],4-6 7-5 6-4, (ch),1.19,11.10%,5.60%,47.80%,83.70%,42.60%,9-Apr,2:26
12_Aug_2024,Cincinnati Masters,Hard,R16,1,32,(1)Sinner d. Jordan Thompson [AUS],W/O,,,,,,,,,
12_Aug_2024,Cincinnati Masters,Hard,R32,1,57,(1)Sinner d. (Q)Alex Michelsen [USA],6-4 7-5, (ch),1.21,10.80%,4.80%,50.60%,73.80%,61.00%,8-Aug,1:51
5_Aug_2024,Canada Masters,Hard,QF,1,8,(5)Andrey Rublev [RUS] d. (1)Sinner,6-3 1-6 6-2, (ch),0.96,13.70%,5.50%,58.90%,74.40%,43.30%,7-Apr,1:47
5_Aug_2024,Canada Masters,Hard,R16,1,21,(1)Sinner d. (15)Alejandro Tabilo [CHI],6-4 6-3, (ch),1.82,10.40%,6.30%,52.10%,92.00%,60.90%,0/0,1:20
5_Aug_2024,Canada Masters,Hard,R32,1,94,(1)Sinner d. (Q)Borna Coric [CRO],6-2 6-4,,1.83,17.00%,3.80%,49.10%,84.60%,66.70%,1-Jan,1:36
1_Jul_2024,Wimbledon,Grass,QF,1,5,(5)Daniil Medvedev [RUS] d. (1)Sinner,6-7(7) 6-4 7-6(4) 2-6 6-3, (ch),1.14,11.30%,2.70%,64.70%,80.40%,52.80%,7-Apr,4:00
1_Jul_2024,Wimbledon,Grass,R16,1,14,(1)Sinner d. (14)Ben Shelton [USA],6-2 6-4 7-6(9), (ch),1.51,7.80%,0.00%,70.00%,76.20%,70.40%,2-Jan,2:09
1_Jul_2024,Wimbledon,Grass,R32,1,52,(1)Sinner d. Miomir Kecmanovic [SRB],6-1 6-4 6-2, (ch),1.94,15.90%,2.90%,60.90%,85.70%,66.70%,1-Jan,1:36
1_Jul_2024,Wimbledon,Grass,R64,1,59,(1)Sinner d. Matteo Berrettini [ITA],7-6(3) 7-6(4) 2-6 7-6(4), (ch),1.29,7.40%,1.50%,65.20%,81.80%,53.20%,7-Mar,3:42
1_Jul_2024,Wimbledon,Grass,R128,1,110,(1)Sinner d. Yannick Hanfmann [GER],6-3 6-4 3-6 6-3, (ch),1.16,12.70%,2.40%,57.90%,79.50%,49.10%,11-Sep,2:58
17_Jun_2024,Halle,Grass,F,1,9,(1)Sinner d. (5)Hubert Hurkacz [POL],7-6(8) 7-6(2), (ch),2.06,13.90%,1.40%,65.30%,93.60%,68.00%,1-Jan,1:49
17_Jun_2024,Halle,Grass,SF,1,42,(1)Sinner d. Zhizhen Zhang [CHN],6-4 7-6(3), (ch),1.38,12.10%,1.50%,65.20%,81.40%,60.90%,1-Jan,1:39
17_Jun_2024,Halle,Grass,QF,1,41,(1)Sinner d. Jan Lennard Struff [GER],6-2 6-7(1) 7-6(3),,1.33,14.40%,3.10%,66.00%,85.90%,51.50%,1-Jan,2:30
17_Jun_2024,Halle,Grass,R16,1,45,(1)Sinner d. Fabian Marozsan [HUN],6-4 6-7(4) 6-3,,1.19,12.90%,2.20%,64.50%,75.00%,51.50%,0/2,2:15
17_Jun_2024,Halle,Grass,R32,1,27,(1)Sinner d. Tallon Griekspoor [NED],6-7(8) 6-3 6-2,,1.41,16.10%,2.20%,66.70%,79.00%,64.50%,4-Apr,2:22
27_May_2024,Roland Garros,Clay,SF,2,3,(3)Carlos Alcaraz [ESP] d. (2)Sinner,2-6 6-3 3-6 6-4 6-3, (ch),1.06,5.20%,5.90%,56.30%,73.70%,45.80%,14-Aug,
27_May_2024,Roland Garros,Clay,QF,2,10,(2)Sinner d. (10)Grigor Dimitrov [BUL],6-2 6-4 7-6(3), (ch),1.61,9.00%,0.00%,59.60%,81.10%,63.90%,2-Jan,
27_May_2024,Roland Garros,Clay,R16,2,79,(2)Sinner d. Corentin Moutet [FRA],2-6 6-3 6-2 6-1, (ch),1.39,5.30%,5.30%,65.30%,72.60%,42.40%,6-Feb,
27_May_2024,Roland Garros,Clay,R32,2,56,(2)Sinner d. Pavel Kotov [RUS],6-4 6-4 6-4, (ch),1.49,4.80%,1.20%,62.70%,78.80%,67.70%,1-Jan,
